SN,Instrument,Depth (m),Pressure SN,Sample Interval (sec),Start Logging Data,,Cold Spike Begin,,Cold Spike End,,Time in Water,
3617,MicroCAT,7,N/A,180,10/4/19,0:00:00,10/4/19,1:13:00,10/4/19,1:51:00,10/5/19,19:30:00
2042,VMCM,10,N/A,60,10/2/19,2:22:20,10/5/19,18:58:00*,N/A,N/A,10/5/19,19:11:00
6893,MicroCAT,15,N/A,60,10/4/19,0:00:00,10/4/19,1:13:00,10/4/19,1:51:00,10/5/19,18:59:00
6894,MicroCAT,25,N/A,60,10/4/19,0:00:00,10/4/19,1:13:00,10/4/19,1:51:00,10/5/19,18:55:00
2032,VMCM,30,N/A,60,10/2/19,2:23:41,10/5/19,18:44:00*,N/A,N/A,10/5/19,18:51:00
6895,MicroCAT,35,N/A,60,10/4/19,0:00:00,10/4/19,1:13:00,10/4/19,1:51:00,10/5/19,18:46:00
6896,MicroCAT,40,N/A,60,10/4/19,0:00:00,10/4/19,1:13:00,10/4/19,1:51:00,10/5/19,18:40:00
6887,MicroCAT,45,2651319,75,10/4/19,0:00:00,10/4/19,1:13:00,10/4/19,1:51:00,10/5/19,18:36:00
1825,600 kHz ADCP,47.5,N/A,600,10/4/19,0:00:00,-,See Table 3.3,-,See Table 3.3,10/5/19,19:43:00
6897,MicroCAT,50,N/A,60,10/4/19,0:00:00,10/4/19,1:13:00,10/4/19,1:51:00,10/5/19,19:45:00
6898,MicroCAT,55,N/A,60,10/4/19,0:00:00,10/4/19,1:13:00,10/4/19,1:51:00,10/5/19,19:52:00
6899,MicroCAT,65,N/A,60,10/4/19,0:00:00,10/4/19,1:13:00,10/4/19,1:51:00,10/5/19,19:53:00
3618,MicroCAT,75,N/A,180,10/4/19,0:00:00,10/4/19,1:13:00,10/4/19,1:51:00,10/5/19,19:55:00
3634,MicroCAT,85,N/A,180,10/4/19,0:00:00,10/4/19,1:13:00,10/4/19,1:51:00,10/5/19,19:56:00
3670,MicroCAT,95,5701,240,10/4/19,0:00:00,10/4/19,1:13:00,10/4/19,1:51:00,10/5/19,19:58:00
6889,MicroCAT,105,2651321,75,10/4/19,0:00:00,10/4/19,1:13:00,10/4/19,1:51:00,10/5/19,19:59:00
6890,MicroCAT,120,2651322,75,10/4/19,0:00:00,10/4/19,1:13:00,10/4/19,1:51:00,10/5/19,20:01:00
4891,300 kHz ADCP,125,N/A,600,10/4/19,0:00:00,-,See Table 3.3,-,See Table 3.3,10/5/19,20:04:00
6888,MicroCAT,135,3418742,75,10/4/19,0:00:00,10/4/19,1:13:00,10/4/19,1:51:00,10/5/19,20:06:00
6891,MicroCAT,155,2651323,75,10/4/19,0:00:00,10/4/19,1:13:00,10/4/19,1:51:00,10/5/19,20:08:00
3639,MicroCAT,1875,5867,60,9/28/19,1:00:00,10/4/19,1:13:00,10/4/19,1:51:00,10/5/19,21:38:00
12242,MicroCAT,1875,2153125,60,9/28/19,1:00:00,10/4/19,1:13:00,10/4/19,1:51:00,10/5/19,21:38:00
11391,MicroCAT,38 m off bottom,2146837,60,9/28/19,1:00:00,10/4/19,1:13:00,10/4/19,1:51:00,10/6/19,1:47:00
12241,MicroCAT,38 m off bottom,2153123,60,9/28/19,1:00:00,10/4/19,1:13:00,10/4/19,1:51:00,10/6/19,1:47:00